x,y
-0.31809622049331665,0.1349043995141983
0.22895991802215576,-0.04142466187477112
0.8902947902679443,-0.17860354483127594
1.4277375936508179,-0.21570612490177155
1.8560991287231445,0.11811725795269012
2.2286500930786133,0.5414003729820251
2.557445526123047,1.1074950695037842
2.6905300617218018,1.6345343589782715
2.8078784942626953,2.23211932182312
2.8531413078308105,2.747541904449463
2.826298236846924,3.3069350719451904
2.803436517715454,3.8786263465881348
2.793370008468628,4.384747505187988
2.807826280593872,4.909053802490234
2.783027410507202,5.526612281799316
2.7745134830474854,6.028474807739258
2.7461094856262207,6.6463541984558105
2.723127603530884,7.383507251739502
2.7171542644500732,7.8917412757873535
2.7187209129333496,8.508339881896973
2.7387442588806152,9.1286039352417
2.762599468231201,9.712977409362793
2.7787282466888428,10.287664413452148
2.659736394882202,10.846535682678223
2.446481466293335,11.36055850982666
2.080845594406128,11.711984634399414
1.477685570716858,11.829412460327148
0.8735654354095459,11.910565376281738
0.3286689519882202,11.943305969238281
-0.22738750278949738,11.931793212890625
-0.8104498386383057,11.914724349975586
-1.404836654663086,12.04118537902832
-1.9927293062210083,12.182716369628906
-2.484673261642456,12.313985824584961
-2.9965410232543945,12.429337501525879
-3.5022923946380615,12.588326454162598
-4.008081912994385,12.684146881103516
-4.610259056091309,12.720165252685547
-5.169934272766113,12.666826248168945
-5.6541748046875,12.495635032653809
-6.07145881652832,12.081328392028809
-6.34110689163208,11.651254653930664
-6.5388503074646,11.149748802185059
-6.65170955657959,10.605273246765137
-6.706812381744385,9.989645957946777
-6.660508155822754,9.374131202697754
-6.577425003051758,8.764453887939453
-6.476838111877441,8.126577377319336
-6.433096885681152,7.533989906311035
-6.552951335906982,6.9671478271484375
-6.6113433837890625,6.429214954376221
-6.682715892791748,5.814696311950684
-6.729122638702393,5.21754264831543
-6.911600112915039,4.654829502105713
-7.10623025894165,4.151740074157715
-7.207212924957275,3.6446902751922607
-7.239995002746582,3.0915236473083496
-7.215682506561279,2.4932138919830322
-7.154385089874268,1.9943004846572876
-6.889432907104492,1.5139631032943726
-6.452215671539307,1.0925092697143555
-6.006545066833496,0.8550708889961243
-5.495156288146973,0.8457252383232117
-5.011754035949707,1.0108327865600586
-4.4542083740234375,0.9664260745048523
-3.8824002742767334,0.8626588582992554
-3.3211567401885986,0.7765458226203918
-2.762274742126465,0.8704874515533447
-2.2893590927124023,1.150648593902588
-1.7878782749176025,1.2201340198516846
-1.377662181854248,0.8492920398712158
-1.0925102233886719,0.4274291396141052
-0.6220077872276306,0.216673344373703
