x,y

2.3995,8.2372
2.3770,8.8473
2.3248,9.4512
2.2829,10.0621
2.2375,10.6236
2.2047,11.2138
2.1678,11.8058
2.2164,12.3816
2.2768,12.9371
2.4254,13.4676
2.6154,13.9549
2.9484,14.4128
3.3481,14.8055
3.7060,15.1664
3.9500,15.6291
4.0778,16.1167
3.7623,16.5304
3.2537,16.6674
2.7868,16.4163
2.4762,15.9652
2.4350,15.4293
2.4119,14.9197
2.4252,14.4029
2.4249,13.8986
2.3881,13.3540
2.3138,12.7790
2.2126,12.2372
2.1336,11.6965
2.1035,11.1370
2.2120,10.6054
2.2559,10.0829
2.3077,9.4962
2.3162,8.9533
2.3473,8.4365
2.4040,7.8464
2.5204,7.2220
2.4991,6.6095
2.5900,6.0310
2.7194,5.3374
2.8064,4.7751
2.9725,4.1849
2.9531,3.6850
2.8422,3.1783
2.6557,2.7012
2.4090,2.2269
2.0335,1.8490
1.6067,1.5080
1.1546,1.1996
0.6503,0.8862
0.1259,0.7298
-0.4049,0.5668
-0.7833,0.3934
